c1,c2,c3,c4,c5,c6,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,b1,b2,b3,b4,posture
61,66,32,19,45,48,16,40,46,54,58,48,46,0,12,42,52,60,61,51,44,0,16,38,40,32,47,53,40,29,22,98,96,94,94,1
61,66,32,19,45,49,17,40,46,54,58,48,46,0,11,42,52,60,61,52,44,0,16,39,40,31,47,53,40,28,21,98,96,94,94,1
61,66,32,19,45,49,17,40,46,54,58,48,46,0,12,41,52,60,61,52,44,0,16,39,40,32,47,53,40,29,22,98,96,94,94,1
61,66,32,19,44,48,16,40,46,54,58,48,45,0,12,41,51,60,60,51,45,0,16,38,40,32,47,53,40,28,22,98,96,94,94,1
73,113,103,56,76,56,0,7,22,53,62,56,65,51,42,43,51,46,35,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
73,114,105,54,75,55,0,4,20,53,62,56,67,53,43,44,52,46,33,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
72,114,105,55,73,55,0,3,19,54,63,60,69,54,43,46,53,50,35,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
71,113,105,57,76,57,0,1,13,50,59,57,68,52,42,44,52,51,38,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
70,112,104,60,82,62,0,0,7,43,53,52,63,49,41,43,53,53,40,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
68,109,100,63,84,65,0,0,2,34,48,46,57,46,40,41,52,53,40,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
66,107,100,64,86,67,0,0,0,32,46,46,57,46,40,42,52,53,41,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
65,106,99,63,88,69,0,0,0,33,48,48,59,48,41,43,53,58,44,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
63,105,97,63,90,74,0,0,2,36,52,53,60,49,41,44,53,62,50,28,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
63,105,95,62,88,73,0,0,5,40,55,54,61,48,41,43,54,62,50,30,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
